date,MMM.Close,MMM.High,MMM.Low,MMM.Open,MMM.Volume,MMM.Ret,MMM.Vol,MMM.M18,MMM.S18,MMM.E9,MMM.M36,MMM.S36,MMM.E18,MMMBBU,MMMBBL,MMM.direction,MMM.mom1m,MMM.mom6m,MMM.mom12m,MMM.mom36m,MMM.chmom,MMM.dolvol,MMM.var,MMM.cov,MMM.beta,MMM.betasq,MMM.pricedelay,^GSPC.Close,^GSPC.High,^GSPC.Low,^GSPC.Open,^GSPC.Volume,^GSPC.Ret,^GSPC.Vol,TB3MS,DGS10,AAA,BAA,GS10,T10Y2Y,CPIAUCSL,PCEPILFE,VIXCLS,PAYEMS,UNRATE,GDPC1,INDPRO,NCBEILQ027S,DGS3MO,csp
2001-01-01,23.57901954650879,25.89110610883403,22.17525305231928,25.171908554884926,118335588,-0.0852772601909914,,,,21.295590970935358,,,20.14520972150862,,,-2.098979949951172,-0.08174234718871087,0.2436578934952054,,,,2790237142.499611,,,,,,1366.010009765625,1383.3699951171875,1274.6199951171875,1320.280029296875,27829800000,0.034050231409260966,,5.15,5.16,7.15,7.93,5.16,0.40,175.6,75.796,24.92,132703,4.2,14183.12,91.4115,11816546.0,5.29,0.7799999999999994
2001-02-01,24.026525497436523,24.591229283456755,22.929082657518922,23.632298986441477,77427606,0.01880113472369844,,,,21.841777876235593,,,20.553769276869453,,,0.4475059509277344,0.01897898892890959,0.2270273882253746,,,,1860316349.7644691,,,,,,1239.93994140625,1376.3800048828125,1215.43994140625,1366.010009765625,21644400000,-0.09683114482086731,,4.88,5.10,7.1,7.87,5.10,0.44,176.0,75.93,23.41,132788,4.2,14183.12,91.4115,11816546.0,5.01,0.7700000000000005
2001-03-01,22.2579345703125,25.65339471537009,21.101121126086255,24.153822238900123,159451437,-0.07645989414807833,0.26001607309350694,,,21.925009215050974,,,20.73315509723188,,,-1.7685909271240234,-0.07360993279335049,0.15330204972190753,0.2016003809018576,,,3549059651.8883057,,,,,,1160.3299560546875,1267.4200439453125,1081.18994140625,1239.93994140625,27806610000,-0.06635853454793589,0.16608592578277065,4.42,4.89,6.98,7.84,4.89,0.54,176.1,76.009,28.50,132751,4.3,14183.12,91.4115,11816546.0,4.54,0.8599999999999994
2001-04-01,25.494871139526367,26.118263494194725,20.814062698315198,22.193668573725965,116807578,0.13577874520765468,0.28221878603943074,,,22.638981599946053,,,21.234388364841827,,,3.236936569213867,0.1454284340260068,0.24583073526135912,0.4071305155397349,,0.1673050635058665,2977994149.230175,,,,,,1249.4599609375,1269.300048828125,1091.989990234375,1160.3299560546875,25409990000,0.07400701716559067,0.19073910326390622,3.87,5.14,7.2,8.07,5.14,0.91,176.4,76.13,28.13,132457,4.4,14271.694,90.2601,12672933.0,3.97,0.8700000000000001
2001-05-01,25.402755737304688,27.2065262741754,24.710810340450706,25.49487320889009,95891455,-0.003619638417231755,0.28131772885857653,,,23.19173642741778,,,21.67316387773265,,,-0.09211540222167969,-0.0036130954229012247,0.2009367738938299,0.4163540980956624,,0.0064886717836794006,2435907208.6597443,,,,,,1255.8199462890625,1315.9300537109375,1232.0,1249.4599609375,24525900000,0.005077276192499077,0.19118538730101636,3.62,5.39,7.29,8.07,5.39,1.13,177.3,76.148,22.94,132409,4.3,14271.694,90.2601,12672933.0,3.70,0.7800000000000002
2001-06-01,24.56778907775879,26.699438674141824,24.546257660567978,25.418296756955236,91525336,-0.033421463875132645,0.2829654221076674,,,23.466946957485984,,,21.97786126720909,,,-0.8349666595458984,-0.03286913704089689,-0.04323586106675592,0.4060709539509091,,-0.007073004418947315,2248575150.1190033,,,,,,1224.3800048828125,1286.6199951171875,1203.030029296875,1255.8199462890625,24748030000,-0.025354105491820707,0.18795214378909825,3.49,5.28,7.18,7.97,5.28,1.20,177.7,76.318,20.94,132299,4.5,14271.694,90.2601,12672933.0,3.57,0.79
2001-07-01,24.08979606628418,25.299884355375895,22.991673563291272,23.523509082534947,94390231,-0.019647846760641106,0.28028538188429786,,,23.591516779245623,,,22.20017019342752,,,-0.4779930114746094,-0.019456085769937514,0.021662330732959534,0.2705984221027544,,-0.1045466170414493,2273841415.439455,,,,,,1211.22998046875,1239.780029296875,1165.5400390625,1224.4200439453125,23793710000,-0.010798241319025235,0.18796810020390176,3.51,5.24,7.13,7.97,5.24,1.20,177.4,76.515,22.32,132171,4.6,14214.516,89.0224,10624475.0,3.59,0.8399999999999999
2001-08-01,22.41460609436035,24.223278379758845,22.19928997664985,24.007960297323894,78593704,-0.07207554695075517,0.2943553002796811,21.612088203430176,2.890653328778789,23.35613464226857,,,22.222742393525714,27.393394860987755,15.830781545872597,-1.6751899719238281,-0.06953940030519423,-0.06708915957274608,0.14470715197659256,,-0.10232911229362573,1761646916.6567535,,,,,,1133.5799560546875,1226.27001953125,1124.8699951171875,1211.22998046875,23359200000,-0.06625562852916861,0.176396378671708,3.36,4.97,7.02,7.85,4.97,1.21,177.4,76.553,21.86,132021,4.9,14214.516,89.0224,10624475.0,3.44,0.8300000000000001
2001-09-01,21.305931091308594,23.295783370282376,18.590724657803225,22.540115654199592,102440989,-0.05072731520263276,0.2999900444483401,21.766663551330566,2.788364869456656,22.94609393207658,,,22.126235940660752,27.343393290243878,16.189933812417255,-1.1086750030517578,-0.04946216758771005,-0.042771420501598656,0.1039736827878961,,-0.03507212546179439,2182600652.5595016,,,,,,1040.93994140625,1155.4000244140625,944.75,1133.5799560546875,25025290000,-0.08525663276941997,0.18455011898121979,2.64,4.73,7.17,8.03,4.73,1.61,178.1,76.118,35.07,131763,5.0,14214.516,89.0224,10624475.0,2.69,0.8599999999999994
2001-10-01,22.600749969482422,23.817613731180476,20.613062453491573,21.21932795026849,112342194,0.05899760127302225,0.30006212874644395,22.015686247083877,2.639561700279211,22.877025139557748,,,22.176184785799876,27.2948096476423,16.736562846525455,1.2948188781738281,0.060772696233023504,-0.11351777987836154,0.10440679609026282,,0.00041600139292174987,2539017837.6170883,,,,,,1059.780029296875,1110.6099853515625,1026.760009765625,1040.93994140625,29951280000,0.01793727226268294,0.1888815366783697,2.16,4.57,7.03,7.91,4.57,1.84,177.6,76.654,32.72,131452,5.3,14253.574,88.0476,11967987.0,2.20,0.8799999999999999
